# GymConfig(dt=1.0, num_drones=4, num_users=20, drones_speed=2.0, drones_height=10.0, boundary_size=1000.0, num_obstacles=0)
# DQNConfig(memory_size=200000, min_memory=50000, update_freq=10000, batch_size=32, gamma=0.99, epsilon=1.0, epsilon_min=0.1, epsilon_decay=1e-05, decay_type='linear', n_step=3, per_alpha=0.6, per_beta=0.4, per_beta_annealing=1e-06, autosave_freq=10000)
episode,sim_time,sim_steps,area_coverage,user_coverage,mean_reward,memory_size,epsilon,loss,train_time,train_steps,train_speed
1,1000.0,1000,0.67,0.65,0.0,4004,1.0,nan,0.0,0,0.0
2,1000.0,1000,0.536,0.7,0.0,8008,1.0,nan,0.0,0,0.0
3,1000.0,1000,0.527,0.5,0.0,12012,1.0,nan,0.0,0,0.0
4,1000.0,1000,0.554,0.45,0.0,16016,1.0,nan,0.0,0,0.0
5,1000.0,1000,0.566,0.8,0.0,20020,1.0,nan,0.0,0,0.0
6,1000.0,1000,0.43,0.5,0.0,24024,1.0,nan,0.0,0,0.0
7,1000.0,1000,0.623,0.7,0.0,28028,1.0,nan,0.0,0,0.0
8,1000.0,1000,0.453,0.4,0.0,32032,1.0,nan,0.0,0,0.0
9,1000.0,1000,0.67,0.8,0.0,36036,1.0,nan,0.0,0,0.0
10,1000.0,1000,0.743,0.8,0.0,40040,1.0,nan,0.0,0,0.0
11,1000.0,1000,0.459,0.4,0.0,44044,1.0,nan,0.0,0,0.0
12,1000.0,1000,0.585,0.75,0.0,48048,1.0,nan,0.0,0,0.0
13,1000.0,1000,0.53,0.7,0.0,52052,0.9948900000000233,0.14593278,18.815980911254883,511,27.157764958430153
14,1000.0,1000,0.766,0.9,0.0,56056,0.9848900000000688,0.117081255,57.77077913284302,1511,26.155090929583967
15,1000.0,1000,0.386,0.25,0.0,60060,0.9748900000001143,0.10259353,97.26888108253479,2511,25.815039172191376
16,1000.0,1000,0.657,0.7,0.0,64064,0.9648900000001598,0.08266465,135.3156774044037,3511,25.946734693190752
17,1000.0,1000,0.678,0.65,0.0,68068,0.9548900000002053,0.06761665,174.91460299491882,4511,25.78972773264415
18,1000.0,1000,0.512,0.6,0.0,72072,0.9448900000002508,0.058405455,213.79866552352905,5511,25.776587370498106
19,1000.0,1000,0.678,0.6,0.0,76076,0.9348900000002963,0.051321927,252.70161819458008,6511,25.76556504896445
20,1000.0,1000,0.683,0.6,0.0,80080,0.9248900000003418,0.047013987,290.87542486190796,7511,25.822050767103843
21,1000.0,1000,0.696,0.35,0.0,84084,0.9148900000003873,0.042538997,329.66134095191956,8511,25.817403894291065
