# num_drones=16, num_users=20, num_obstacles=2, episode_steps=5000
# SDQNConfig(displacement=1.0, obstacle_distance=10.0, agent_mass=1.0, max_acceleration=10.0, max_displacement=100.0, target_velocity=20.0, target_height=0.0)
episode,steps,cumulative_reward,mean_loss,mean_area_coverage,mean_user_coverage,mean_direct_conn,mean_global_conn
0,5000,-245.7906,0.002535,0.140797,0.059029,1.000000,1.000000
1,5000,-416.7156,0.000839,0.136584,0.047400,1.000000,1.000000
2,5000,-218.4562,0.000672,0.145068,0.289300,1.000000,1.000000
3,5000,-189.7406,0.000646,0.164708,0.159590,1.000000,1.000000
4,1,-7.7500,0.000646,0.102000,0.050000,1.000000,1.000000
5,5000,-74.6188,0.000649,0.171379,0.305670,1.000000,1.000000
6,5000,-97.7188,0.000642,0.173109,0.163020,1.000000,1.000000
7,5000,-65.0875,0.000627,0.175122,0.165300,1.000000,1.000000
8,5000,-18.1000,0.000595,0.215707,0.383800,0.996413,0.977087
9,1069,-11.1156,0.000571,0.149956,0.129139,1.000000,1.000000
10,1886,-40.2125,0.000560,0.128786,0.052359,1.000000,1.000000
11,5000,-3.6594,0.000536,0.205838,0.250200,0.991912,0.945163
12,3995,-12.8156,0.000508,0.176862,0.181076,0.993695,0.993695
13,5000,66.8531,0.000481,0.303241,0.378330,0.923375,0.902275
14,2971,0.2687,0.000456,0.248589,0.319270,0.957401,0.884614
15,1,-3.0625,0.000446,0.093000,0.100000,1.000000,1.000000
16,5000,5.8031,0.000433,0.234370,0.139840,0.979437,0.955025
17,5000,43.7156,0.000405,0.336224,0.281680,0.875613,0.785138
18,1,-4.2500,0.000392,0.083000,0.100000,1.000000,1.000000
19,5000,87.6844,0.000381,0.339977,0.475880,0.871575,0.822163
20,4142,33.3031,0.000361,0.358665,0.268928,0.908423,0.856772
21,5000,70.0875,0.000345,0.426015,0.550670,0.801412,0.731463
22,5000,121.8563,0.000329,0.531846,0.716860,0.635312,0.598850
23,4737,39.2875,0.000314,0.362857,0.365548,0.863548,0.733943
24,3439,25.5281,0.000301,0.313685,0.365004,0.899880,0.862224
25,5000,95.6469,0.000291,0.508182,0.678770,0.675087,0.614525
26,1,-10.0000,0.000285,0.077000,0.100000,1.000000,1.000000
27,5000,73.1188,0.000279,0.424272,0.534180,0.762325,0.713925
28,680,-48.5531,0.000274,0.151812,0.185515,1.000000,1.000000
29,5000,100.8937,0.000271,0.400945,0.485420,0.779813,0.679562
30,5000,81.9969,0.000264,0.329028,0.408310,0.827612,0.731475
31,5000,79.2594,0.000256,0.529516,0.609620,0.736175,0.498075
32,5000,73.3219,0.000247,0.488838,0.574410,0.740513,0.604350
33,5000,17.6531,0.000239,0.319172,0.322520,0.882200,0.863463
34,3680,8.3812,0.000233,0.317235,0.251970,0.921399,0.703872
35,5000,44.3781,0.000227,0.285677,0.389840,0.889750,0.784950
36,5000,112.4437,0.000221,0.475171,0.555140,0.786737,0.649100
37,5000,31.6125,0.000215,0.383835,0.370210,0.839638,0.668850
38,1,-10.0000,0.000213,0.094000,0.100000,1.000000,1.000000
39,5000,93.3000,0.000211,0.354912,0.496860,0.814875,0.814875
40,5000,43.7344,0.000207,0.383424,0.422210,0.771100,0.765038
41,5000,57.6969,0.000203,0.380461,0.436930,0.800150,0.643475
42,5000,76.8750,0.000198,0.449301,0.512820,0.717450,0.644988
43,2469,3.3813,0.000195,0.283273,0.342021,0.922261,0.910161
44,1,-5.3125,0.000194,0.103000,0.000000,1.000000,1.000000
45,4401,-11.9750,0.000192,0.410535,0.563713,0.778985,0.529184
46,5000,-7.7656,0.000190,0.279052,0.379690,0.820925,0.810300
47,5000,108.3844,0.000188,0.474142,0.509950,0.725450,0.653312
48,1,-7.7500,0.000187,0.077000,0.000000,1.000000,1.000000
49,3317,21.3656,0.000187,0.309670,0.426440,0.847358,0.766544
